,clTrackID,timepoint,rel_time,rel_r,r_squared,circle_radius,radius_velocity,radius_acceleration,wave_centroid,cell_density,ca_avg_sig,split,trackable,drug_name,drug_dose,volunteer_ID,wave_ID,image_ID,real_time
45,3,146,11,105.58591219100177,11148.384853205936,145.98168648857717,1.2817559014943951,-0.0521265480258136,[240.46923683 236.85052248],4055.930208748208,320.9197375486643,0.0,True,,,17,35-3,35,55.0
46,3,147,12,112.52186681490934,12661.170511512197,152.91764111248474,1.6725327571839443,0.0443844204965526,[240.48381145 233.69617061],4065.77469954614,322.1071116928447,0.0,True,,,17,35-3,35,60.0
47,3,148,13,122.31123976284121,14960.039372323228,162.7070140604166,1.7256001064599218,-0.0088709269679665,[242.49612487 230.94978803],4060.149276233036,324.6726238421265,0.0,True,,,17,35-3,35,65.0
48,3,149,14,129.77786787950856,16842.29499135118,170.17364217708396,1.5838234875042787,0.0450933639662915,[243.98768402 228.86320674],4029.209448010962,327.39298899181097,0.0,True,,,17,35-3,35,70.0
49,3,150,15,138.149474637884,19085.277342723355,178.5452489354594,2.176533746122837,0.0982280054698003,[245.40568507 226.65373726],4040.460294637171,332.3347596992885,0.0,True,,,17,35-3,35,75.0
50,3,151,16,151.54320534073693,22965.34308494476,191.93897963831233,2.566103542202282,0.0255489008459966,[247.04290006 225.33412849],4036.241227152343,335.81321318297756,0.0,True,,,17,35-3,35,80.0
51,3,152,17,163.81051005990685,26833.883206086834,204.20628435748225,2.4320227545828033,-0.0424093656483188,[247.78732727 223.99858896],4058.74292040476,338.6964525439656,0.0,True,,,17,35-3,35,85.0
52,3,153,18,175.86343288656496,30927.94702664734,216.25920718414037,2.1420098857190935,-0.0166601654826689,[248.60895062 223.06897906],4030.615803839239,339.0005202040542,0.0,True,,,17,35-3,35,90.0
53,3,154,19,185.23060891709775,34310.37847979881,225.62638321467315,2.2654210997561135,0.0284908293764181,[249.39570597 222.3277746 ],4040.460294637171,340.6974258289703,0.0,True,,,17,35-3,35,95.0
54,3,155,20,198.5176438841261,39409.254933304706,238.9134181817015,2.4269181794832746,-0.0132277416511064,[250.17304691 221.60270558],4044.679362122,338.7611424352262,1.0,True,,,17,35-3,35,100.0
55,3,156,21,209.4997907119305,43890.16230834268,249.8955650095059,2.1331436832450494,-0.0410068529936822,[251.25114608 221.56696744],4026.39673635441,337.2838468250772,1.0,True,,,17,35-3,35,105.0
