,volunteer,seed_density,well_id,position,target_id,cell_num,target_size,cells_to_target,measured_density
57,5,6m,w1,p1,t3,436.332605344296,2570.0400000000004,0.16977658143231075,5702.479338842974
58,5,6m,w1,p1,t4,546.5990554613708,3104.8600000000006,0.1760462808182561,5151.515151515151
59,5,6m,w1,p2,t1,446.7590628278354,2816.8800000000006,0.15860067266899383,5730.027548209366
60,5,6m,w1,p2,t2,527.3609847071988,2720.0800000000004,0.19387701270080243,6538.108356290174
61,5,6m,w1,p2,t3,509.5552613400875,2711.6100000000006,0.18791613150124367,6730.9458218549125
62,5,6m,w1,p2,t4,483.98023867573465,3011.6900000000005,0.16070054974972012,7024.793388429752
63,5,6m,w1,p3,t1,576.9530275737841,2917.3100000000004,0.19776884444018086,7226.813590449953
64,5,6m,w1,p3,t2,619.0299554946936,3178.6700000000005,0.19474495795244348,6427.9155188246095
65,5,6m,w1,p3,t3,438.169404934688,2749.1200000000003,0.15938533237351876,5344.35261707989
66,5,6m,w1,p3,t4,438.9417254995812,2594.2400000000002,0.16919858050896647,5261.7079889807155
67,5,6m,w1,p4,t1,499.38568376068366,2881.01,0.17333701853193276,3829.201101928374
68,5,6m,w1,p4,t2,661.4227000146263,4118.840000000001,0.16058470346374856,7272.727272727272
69,5,6m,w1,p4,t3,464.0906483877735,2775.7400000000002,0.16719528788278926,7796.143250688704
70,5,6m,w1,p4,t4,461.77128487606274,3035.8900000000003,0.15210408969892278,5381.083562901744
71,5,6m,w1,p5,t1,814.5911983750846,3867.1600000000008,0.21064326233594793,6547.291092745638
72,5,6m,w1,p5,t2,478.804580382703,2560.3600000000006,0.1870067413889855,7226.813590449953
73,5,6m,w1,p5,t4,534.5425685425687,2279.6400000000003,0.23448551900412723,8218.549127640035
74,5,10m,w2,p1,t1,1133.5538051793505,6013.700000000001,0.1884952367393369,6519.742883379246
75,5,10m,w2,p1,t2,680.6837853812307,3456.9700000000007,0.19690184912834954,7731.8640955004585
76,5,10m,w2,p1,t3,467.17215988779805,2634.1700000000005,0.17735080115854251,8833.792470156106
77,5,10m,w2,p1,t4,530.0516442535879,2724.9200000000005,0.19452007554481887,7465.564738292011
78,5,10m,w2,p2,t1,699.4771218795888,3665.0900000000006,0.19084855266298745,8576.675849403122
79,5,10m,w2,p2,t2,1047.9397058823529,4228.950000000001,0.24780139417168628,7337.0064279155185
80,5,10m,w2,p2,t3,811.1077865064697,3861.1100000000006,0.21007114184948616,8200.183654729108
81,5,10m,w2,p2,t4,712.7404743687835,2962.0800000000004,0.24062161534083595,10762.167125803488
