time,r_simple
30.38,385.1571427142178
30.4,385.374690539539
30.42,385.59221468064794
30.44,385.8097151531161
30.46,386.02719197249456
30.48,386.2446451543139
30.5,386.4620747140842
30.52,386.67948066729554
30.54,386.89686302941726
30.56,387.11422181589893
30.58,387.3315570421693
30.6,387.54886872363767
30.62,387.7661568756927
30.64,387.98342151370264
30.66,388.20066265301654
30.68,388.4178803089627
30.7,388.63507449685005
30.72,388.8522452319668
30.74,389.0693925295821
30.76,389.28651640494456
30.78,389.50361687328325
30.8,389.7206939498073
30.82,389.9377476497064
30.84,390.1547779881503
30.86,390.371784980289
30.88,390.58876864125307
30.9,390.8057289861533
30.92,391.02266603008115
30.94,391.2395797881082
30.96,391.4564702752869
30.98,391.67333750664994
31.0,391.8901814972107
31.02,392.10700226196366
31.04,392.3237998158831
31.06,392.5405741739247
31.08,392.7573253510248
31.1,392.9740533620998
31.12,393.1907582220481
31.14,393.40743994574785
31.16,393.62409854805867
31.18,393.84073404382116
31.2,394.05734644785656
31.22,394.2739357749674
31.24,394.4905020399368
31.26,394.7070452575297
31.28,394.92356544249134
31.3,395.1400626095486
31.32,395.3565367734093
31.34,395.572987948763
31.36,395.78941615027946
31.38,396.005821392611
31.4,396.22220369039013
31.42,396.4385630582314
31.44,396.6548995107305
31.46,396.8712130624649
31.48,397.08750372799284
31.5,397.30377152185486
31.52,397.52001645857246
31.54,397.7362385526489
31.56,397.952437818569
31.58,398.1686142707995
31.6,398.3847679237884
31.62,398.6008987919657
31.64,398.81700688974286
31.66,399.03309223151354
31.68,399.24915483165285
31.7,399.46519470451807
31.72,399.68121186444796
31.74,399.89720632576325
31.76,400.11317810276734
31.78,400.3291272097447
31.8,400.5450536609619
31.82,400.7609574706685
31.84,400.9768386530952
31.86,401.1926972224549
31.88,401.40853319294314
31.9,401.62434657873723
31.92,401.840137393997
31.94,402.05590565286445
31.96,402.2716513694635
31.98,402.4873745579009
32.0,402.7030752322655
32.02,402.91875340662864
32.04,403.13440909504413
32.06,403.35004231154807
32.08,403.5656530701589
32.1,403.78124138487823
32.12,403.99680726968944
32.14,404.21235073855894
32.16,404.4278718054357
32.18,404.6433704842515
32.2,404.85884678892035
32.22,405.0743007333391
32.24,405.28973233138794
32.26,405.50514159692915
32.28,405.720528543808
32.3,405.93589318585254
32.32,406.15123553687425
32.34,406.36655561066664
32.36,406.5818534210069
32.38,406.79712898165474
32.4,407.01238230635295
32.42,407.2276134088277
32.44,407.44282230278753
32.46,407.65800900192494
32.48,407.8731735199147
32.5,408.0883158704157
32.52,408.30343606706896
32.54,408.51853412349936
32.56,408.7336100533152
32.58,408.94866387010734
32.6,409.16369558745066
32.62,409.37870521890295
32.64,409.5936927780056
32.66,409.8086582782834
32.68,410.0236017332445
32.7,410.23852315638044
32.72,410.4534225611664
32.74,410.6682999610609
32.76,410.8831553695063
32.78,411.09798879992843
32.8,411.3128002657364
32.82,411.5275897803238
32.84,411.74235735706696
32.86,411.9571030093265
32.88,412.1718267504465
32.9,412.38652859375486
32.92,412.6012085525634
32.94,412.8158666401677
32.96,413.03050286984717
32.98,413.2451172548651
33.0,413.45970980846863
33.02,413.67428054388915
33.04,413.8888294743415
33.06,414.1033566130251
33.08,414.31786197312283
33.1,414.53234556780217
33.12,414.7468074102142
33.14,414.9612475134947
33.16,415.17566589076284
33.18,415.3900625551226
33.2,415.60443751966193
33.22,415.8187907974529
33.24,416.0331224015521
33.26,416.24743234500005
33.28,416.46172064082197
33.3,416.67598730202707
33.32,416.8902323416095
33.34,417.1044557725471
33.36,417.31865760780244
33.38,417.53283786032284
33.4,417.7469965430394
33.42,417.9611336688687
33.44,418.1752492507109
33.46,418.38934330145145
33.48,418.6034158339599
33.5,418.8174668610908
33.52,419.0314963956833
33.54,419.24550445056065
33.56,419.45949103853155
33.58,419.6734561723893
33.6,419.88739986491163
33.62,420.1013221288611
33.64,420.3152229769856
33.66,420.529102422017
33.68,420.742960476673
33.7,420.95679715365554
33.72,421.17061246565163
33.74,421.3844064253333
33.76,421.59817904535754
33.78,421.8119303383663
33.8,422.02566031698666
33.82,422.2393689938305
33.84,422.45305638149534
33.86,422.66672249256294
33.88,422.88036733960115
33.9,423.09399093516225
33.92,423.307593291784
33.94,423.5211744219894
33.96,423.7347343382868
33.98,423.94827305316954
34.0,424.16179057911626
34.02,424.3752869285913
34.04,424.58876211404396
34.06,424.80221614790884
